GRB name,T100,Cat
GRB090306B,26.0,L
GRB090305A,0.62,S
GRB090301A,90.14,L
GRB090205,9.54,L
GRB090201,86.14,L
GRB090129,26.93,L
GRB090123,172.66,L
GRB090118,15.24,L
GRB090113,10.87,L
GRB090111,28.92,L
GRB090107A,12.59,L
GRB090102,37.01,L
GRB081230,76.86,L
GRB081228,3.0,L
GRB081226A,0.5,S
GRB081222,65.0,L
GRB081221,112.6,L
GRB081211B,70.4,L
GRB081211A,3.83,L
GRB081210,155.85,L
GRB081203B,177.6,L
GRB081203A,474.0,L
GRB081128,131.64,L
GRB081127,19.25,L
GRB081126,78.44,L
GRB081121,19.76,L
GRB081118,69.95,L
GRB081109A,380.53,L
GRB081105A,9.6,Discarded
GRB081104,81.0,L
GRB081102,65.89,L
GRB081101,0.22,S
GRB081029,306.5,L
GRB081028A,367.74,L
GRB081025,25.17,L
GRB081024A,1.92,S
GRB081022,218.75,L
GRB081017,,Discarded
GRB081016B,2.98,L
GRB081012,32.78,L
GRB081011,18.24,L
GRB081008,261.8,L
GRB081007,15.49,L
GRB080928,267.65,L
GRB080919,0.67,S
GRB080916B,38.33,L
GRB080916A,91.04,L
GRB080915B,6.68,L
GRB080915A,29.39,L
GRB080913,8.33,L
GRB080906,214.55,L
GRB080905B,150.42,L
GRB080905A,1.09,S
GRB080903,78.55,L
GRB080822B,,Discarded
GRB080810,126.99,L
GRB080805,137.98,L
GRB080804,113.21,L
GRB080802,206.27,L
GRB080727C,113.55,L
GRB080727B,9.74,L
GRB080727A,5.33,L
GRB080725,155.54,L
GRB080723A,18.94,L
GRB080721,370.38,L
GRB080714,36.02,L
GRB080710,162.76,L
GRB080707,33.09,L
GRB080703,3.91,L
GRB080702B,18.29,L
GRB080702A,0.58,S
GRB080701,25.19,L
GRB080623,16.64,L
GRB080613B,135.12,L
GRB080607,161.8,L
GRB080605,28.11,L
GRB080604,86.87,L
GRB080603B,68.37,L
GRB080602,80.73,L
GRB080524,6.4,L
GRB080523,48.0,L
GRB080520,3.64,L
GRB080517,69.15,L
GRB080516,5.97,S
GRB080515,27.73,L
GRB080506,169.75,L
GRB080503,224.0,L
GRB080430,17.66,L
GRB080426,2.24,L
GRB080413B,12.0,L
GRB080413A,50.42,L
GRB080411,77.55,L
GRB080409,23.51,L
GRB080405,72.0,L
GRB080330,62.67,L
GRB080328,122.86,L
GRB080325,203.36,L
GRB080320,15.52,L
GRB080319D,29.49,L
GRB080319C,43.75,L
GRB080319B,305.89,L
GRB080319A,49.38,L
GRB080315,,Discarded
GRB080310,390.16,L
GRB080307,141.0,L
GRB080303,73.79,L
GRB080229A,96.0,L
GRB080218B,7.42,L
GRB080218A,25.1,L
GRB080212,140.34,L
GRB080210,60.29,L
GRB080207,327.73,L
GRB080205,115.47,L
GRB080130,67.2,L
GRB080129,55.89,L
GRB080123,121.12,L
GRB080121,0.5,S
GRB071227,150.7,L
GRB071129,470.72,L
GRB071122,85.1,L
GRB071118,118.98,L
GRB071117,14.32,L
GRB071112C,,Discarded
GRB071112B,0.32,S
GRB071101,5.18,L
GRB071031,197.01,L
GRB071028B,54.4,Discarded
GRB071028A,29.64,L
GRB071025,398.78,L
GRB071021,284.34,L
GRB071020,10.58,L
GRB071018,296.17,L
GRB071013,77.95,L
GRB071011,87.12,L
GRB071010C,12.8,Discarded
GRB071010B,59.57,L
GRB071010A,7.02,L
GRB071008,24.58,L
GRB071006,46.4,Discarded
GRB071003,175.16,L
GRB071001,61.84,L
GRB070923,0.04,Discarded
GRB070920B,27.47,L
GRB070920A,59.64,L
GRB070917,15.23,L
GRB070913,2.88,L
GRB070911,231.07,L
GRB070810B,0.08,Discarded
GRB070810A,12.74,L
GRB070809,1.47,L
GRB070808,69.89,L
GRB070805,29.51,L
GRB070802,17.96,L
GRB070731,3.13,L
GRB070729,1.14,S
GRB070724A,0.49,S
GRB070721B,366.63,L
GRB070721A,3.57,L
GRB070714B,75.43,L
GRB070714A,3.0,L
