GRB name,T90,Type
GRB090712,202.9,L
GRB090709B,26.94,L
GRB090709A,88.74,L
GRB090708,8.71,L
GRB090628,24.94,L
GRB090621B,0.14,S
GRB090621A,219.24,L
GRB090618,113.34,L
GRB090607,2.29,S
GRB090531B,55.0,L
GRB090531A,42.8,L
GRB090530,40.46,L
GRB090529A,70.44,L
GRB090520,14.4,L
GRB090519,58.04,L
GRB090518,85.82,L
GRB090516A,181.01,L
GRB090515,0.04,Discarded
GRB090510,5.66,S
GRB090509,336.38,L
GRB090429B,5.58,L
GRB090429A,184.0,L
GRB090426,1.24,L
GRB090424,49.46,L
GRB090423,10.3,L
GRB090422,8.48,L
GRB090419,454.24,L
GRB090418B,38.0,L
GRB090418A,56.3,L
GRB090417B,266.94,L
GRB090417A,0.07,Discarded
GRB090410,165.15,L
GRB090407,315.47,L
GRB090404,82.02,L
GRB090401B,186.5,L
GRB090401A,117.0,L
GRB090313,83.04,L
GRB090309A,3.0,L
GRB090308A,25.1,L
GRB090307A,22.0,L
GRB090306B,21.0,L
GRB090305A,0.54,S
GRB090301A,41.37,L
GRB090205,8.81,L
GRB090201,74.26,L
GRB090129,17.62,L
GRB090123,137.34,L
GRB090118,13.52,L
GRB090113,9.1,L
GRB090111,25.26,L
GRB090107A,12.08,L
GRB090102,28.32,L
GRB081230,60.69,L
GRB081228,3.0,L
GRB081226A,0.44,S
GRB081222,33.0,L
GRB081221,33.91,L
GRB081211B,64.0,L
GRB081211A,3.42,L
GRB081210,145.91,L
GRB081203B,161.6,L
GRB081203A,223.0,L
GRB081128,102.32,L
GRB081127,17.3,L
GRB081126,57.65,L
GRB081121,17.52,L
GRB081118,53.4,L
GRB081109A,221.49,L
GRB081105A,9.6,Discarded
GRB081104,64.0,L
GRB081102,50.32,L
GRB081101,0.18,S
GRB081029,275.1,L
GRB081028A,284.42,L
GRB081025,22.76,L
GRB081024A,1.82,S
GRB081022,157.58,L
GRB081017,,Discarded
GRB081016B,2.62,L
GRB081012,28.97,L
GRB081011,17.09,L
GRB081008,187.82,L
GRB081007,9.73,L
GRB080928,233.66,L
GRB080919,0.6,S
GRB080916B,33.54,L
GRB080916A,61.35,L
GRB080915B,4.05,L
GRB080915A,26.29,L
GRB080913,7.46,L
GRB080906,148.21,L
GRB080905B,120.94,L
GRB080905A,1.02,S
GRB080903,66.34,L
GRB080822B,,Discarded
GRB080810,107.67,L
GRB080805,106.62,L
GRB080804,37.87,L
GRB080802,179.5,L
GRB080727C,77.36,L
GRB080727B,8.66,L
GRB080727A,4.91,L
GRB080725,92.74,L
GRB080723A,17.34,L
GRB080721,129.7,L
GRB080714,25.81,L
GRB080710,142.99,L
GRB080707,30.16,L
GRB080703,3.52,L
GRB080702B,15.41,L
GRB080702A,0.51,S
GRB080701,17.82,L
GRB080623,15.1,L
GRB080613B,79.45,L
GRB080607,78.97,L
GRB080605,18.06,L
GRB080604,77.61,L
GRB080603B,59.12,L
GRB080602,74.29,L
GRB080524,6.4,L
GRB080523,48.0,L
GRB080520,3.32,L
GRB080517,64.51,L
GRB080516,5.76,S
GRB080515,20.86,L
GRB080506,152.2,L
GRB080503,176.0,L
GRB080430,13.87,L
GRB080426,1.73,L
GRB080413B,8.0,L
GRB080413A,46.36,L
GRB080411,56.33,L
GRB080409,22.66,L
GRB080405,64.0,L
GRB080330,60.36,L
GRB080328,91.11,L
GRB080325,166.74,L
GRB080320,13.82,L
GRB080319D,26.94,L
GRB080319C,29.55,L
GRB080319B,124.86,L
GRB080319A,43.62,L
GRB080315,,Discarded
GRB080310,363.21,L
GRB080307,124.0,L
GRB080303,67.59,L
GRB080229A,64.0,L
GRB080218B,6.53,L
GRB080218A,22.8,L
GRB080212,126.31,L
GRB080210,42.26,L
GRB080207,292.46,L
GRB080205,106.3,L
GRB080130,60.8,L
GRB080129,50.18,L
GRB080123,114.91,L
GRB080121,0.32,S
GRB071227,142.48,L
GRB071129,408.08,L
GRB071122,71.43,L
GRB071118,105.6,L
GRB071117,6.08,L
GRB071112C,,Discarded
GRB071112B,0.3,S
GRB071101,4.82,L
GRB071031,180.64,L
GRB071028B,51.2,Discarded
GRB071028A,26.86,L
GRB071025,241.3,L
GRB071021,228.72,L
GRB071020,4.3,L
GRB071018,273.57,L
GRB071013,75.58,L
GRB071011,65.88,L
GRB071010C,12.8,Discarded
GRB071010B,36.12,L
GRB071010A,6.32,L
GRB071008,17.98,L
GRB071006,43.2,Discarded
GRB071003,148.39,L
GRB071001,57.43,L
GRB070923,0.04,Discarded
GRB070920B,22.26,L
GRB070920A,55.76,L
GRB070917,8.72,L
GRB070913,2.68,L
GRB070911,161.72,L
GRB070810B,0.07,Discarded
GRB070810A,9.04,L
GRB070809,1.28,L
GRB070808,58.43,L
GRB070805,26.43,L
GRB070802,15.8,L
GRB070731,2.86,L
GRB070729,0.99,S
GRB070724A,0.43,S
GRB070721B,336.86,L
GRB070721A,3.35,L
GRB070714B,65.64,L
GRB070714A,3.0,L
